"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 16:34:53 GMT 2024","Wed Oct 16 16:35:02 GMT 2024","8638","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-405 Verify uploading of invalid size file",""
"passed","Wed Oct 16 16:31:43 GMT 2024","Wed Oct 16 16:31:51 GMT 2024","7945","chromium","consultationForm.spec.ts","Consulting form functionality","","","TC-226: Verify 'У Вас залишилися питання?' form",""
"passed","Wed Oct 16 16:34:58 GMT 2024","Wed Oct 16 16:35:06 GMT 2024","8048","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-390 Verify 'Назад' button",""
"passed","Wed Oct 16 16:31:52 GMT 2024","Wed Oct 16 16:31:58 GMT 2024","6129","chromium","createUnit.spec.ts","Create unit functionality","","","TC-297 Verify unit name section",""
"passed","Wed Oct 16 16:36:30 GMT 2024","Wed Oct 16 16:36:34 GMT 2024","4164","chromium","signIn.spec.ts","Auth page testing","","","TC-200 Authorization with empty fields",""
"failed","Wed Oct 16 16:34:24 GMT 2024","Wed Oct 16 16:34:39 GMT 2024","14368","chromium","createUnit.spec.ts","Create unit functionality","","","TC-319 Verify vehicle location division",""
"passed","Wed Oct 16 16:36:45 GMT 2024","Wed Oct 16 16:36:51 GMT 2024","5834","chromium","signIn.spec.ts","Auth page testing","","","TC-577 Authorization with invalid password",""
"passed","Wed Oct 16 16:35:34 GMT 2024","Wed Oct 16 16:36:27 GMT 2024","53037","chromium","main.spec.ts","Main page testing","","","TC-212: Checking 'Послуги' section on the main page",""
"passed","Wed Oct 16 16:34:40 GMT 2024","Wed Oct 16 16:34:49 GMT 2024","9152","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-384 Verify same images uploading",""
"passed","Wed Oct 16 16:31:48 GMT 2024","Wed Oct 16 16:32:32 GMT 2024","43705","chromium","createUnit.spec.ts","Create unit functionality","","","TC-296 Verify category (Категорія) section",""
"passed","Wed Oct 16 16:36:34 GMT 2024","Wed Oct 16 16:36:39 GMT 2024","4968","chromium","signIn.spec.ts","Auth page testing","","","TC-207 Authorization with invalid phone",""
"passed","Wed Oct 16 16:34:49 GMT 2024","Wed Oct 16 16:34:58 GMT 2024","8216","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-401 Verify uploading of invalid file type",""
"passed","Wed Oct 16 16:36:40 GMT 2024","Wed Oct 16 16:36:45 GMT 2024","4791","chromium","signIn.spec.ts","Auth page testing","","","TC-576 Authorization with invalid email",""
"passed","Wed Oct 16 16:36:57 GMT 2024","Wed Oct 16 16:37:07 GMT 2024","9754","chromium","signIn.spec.ts","Auth page testing","","","TC-202 Authorization with valid phone and password",""
"passed","Wed Oct 16 16:35:11 GMT 2024","Wed Oct 16 16:35:24 GMT 2024","13593","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-594 Verify image moving",""
"passed","Wed Oct 16 16:36:52 GMT 2024","Wed Oct 16 16:36:56 GMT 2024","4133","chromium","signIn.spec.ts","Auth page testing","","","TC-201 Authorization with valid email and password",""
"passed","Wed Oct 16 16:32:11 GMT 2024","Wed Oct 16 16:33:50 GMT 2024","99205","chromium","createUnit.spec.ts","Create unit functionality","","","TC-317 Verify technical characteristics section",""
"passed","Wed Oct 16 16:35:27 GMT 2024","Wed Oct 16 16:35:34 GMT 2024","6445","chromium","footer.spec.ts","Footer functionality","","","TC-214: Verify that all elements on the footer are displayed and all links are clickable",""
"passed","Wed Oct 16 16:35:02 GMT 2024","Wed Oct 16 16:35:10 GMT 2024","8134","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-393 Verify 'Далі' button",""
"broken","Wed Oct 16 16:36:56 GMT 2024","Wed Oct 16 16:37:29 GMT 2024","32984","chromium","main.spec.ts","Main page testing","","","TC-213: Checking 'Спецтехніка' section on the main page",""
"passed","Wed Oct 16 16:35:22 GMT 2024","Wed Oct 16 16:35:38 GMT 2024","16253","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-595 Verify image deleting",""
"passed","Wed Oct 16 16:34:10 GMT 2024","Wed Oct 16 16:34:14 GMT 2024","3940","chromium","createUnit.spec.ts","Create unit functionality","","","TC-326 Verify 'Скасувати'  button",""
"passed","Wed Oct 16 16:31:43 GMT 2024","Wed Oct 16 16:31:48 GMT 2024","4646","chromium","createUnit.spec.ts","Create unit functionality","","","TC-294 Verify body title and tab titles",""
"passed","Wed Oct 16 16:32:05 GMT 2024","Wed Oct 16 16:32:10 GMT 2024","4854","chromium","createUnit.spec.ts","Create unit functionality","","","TC-299 Verify model name input field",""
"passed","Wed Oct 16 16:35:06 GMT 2024","Wed Oct 16 16:35:19 GMT 2024","12870","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-593 Verify image uploading",""
"passed","Wed Oct 16 16:31:58 GMT 2024","Wed Oct 16 16:32:05 GMT 2024","6799","chromium","createUnit.spec.ts","Create unit functionality","","","TC-298 Verify vehicle manufacturer section",""
"failed","Wed Oct 16 16:34:39 GMT 2024","Wed Oct 16 16:34:51 GMT 2024","12872","chromium","createUnit.spec.ts","Create unit functionality","","","TC-329 Verify 'Далі' button",""
"passed","Wed Oct 16 16:32:34 GMT 2024","Wed Oct 16 16:34:09 GMT 2024","95002","chromium","createUnit.spec.ts","Create unit functionality","","","TC-318 Verify description section",""
