"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6517","TC-576 Authorization with invalid email","chromium","Thu Oct 17 13:18:59 UTC 2024","passed","Thu Oct 17 13:19:05 UTC 2024","Auth page testing","signIn.spec.ts","",""
"","8700","TC-384 Verify same images uploading","chromium","Thu Oct 17 13:16:30 UTC 2024","passed","Thu Oct 17 13:16:39 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","12563","TC-593 Verify image uploading","chromium","Thu Oct 17 13:17:13 UTC 2024","passed","Thu Oct 17 13:17:25 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","46377","TC-296 Verify category (Категорія) section","chromium","Thu Oct 17 13:13:47 UTC 2024","passed","Thu Oct 17 13:14:33 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","5577","TC-201 Authorization with valid email and password","chromium","Thu Oct 17 13:19:13 UTC 2024","passed","Thu Oct 17 13:19:19 UTC 2024","Auth page testing","signIn.spec.ts","",""
"","6418","TC-214: Verify that all elements on the footer are displayed and all links are clickable","chromium","Thu Oct 17 13:17:46 UTC 2024","passed","Thu Oct 17 13:17:52 UTC 2024","Footer functionality","footer.spec.ts","",""
"","51308","TC-329 Verify 'Далі' button","chromium","Thu Oct 17 13:16:40 UTC 2024","passed","Thu Oct 17 13:17:31 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","11925","TC-202 Authorization with valid phone and password","chromium","Thu Oct 17 13:19:19 UTC 2024","passed","Thu Oct 17 13:19:31 UTC 2024","Auth page testing","signIn.spec.ts","",""
"","8054","TC-405 Verify uploading of invalid size file","chromium","Thu Oct 17 13:16:48 UTC 2024","passed","Thu Oct 17 13:16:56 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","6288","TC-577 Authorization with invalid password","chromium","Thu Oct 17 13:19:06 UTC 2024","passed","Thu Oct 17 13:19:12 UTC 2024","Auth page testing","signIn.spec.ts","",""
"","8800","TC-401 Verify uploading of invalid file type","chromium","Thu Oct 17 13:16:39 UTC 2024","passed","Thu Oct 17 13:16:48 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","7323","TC-298 Verify vehicle manufacturer section","chromium","Thu Oct 17 13:13:57 UTC 2024","passed","Thu Oct 17 13:14:05 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","54305","TC-212: Checking 'Послуги' section on the main page","chromium","Thu Oct 17 13:17:50 UTC 2024","passed","Thu Oct 17 13:18:45 UTC 2024","Main page testing","main.spec.ts","",""
"","30235","TC-319 Verify vehicle location division","chromium","Thu Oct 17 13:15:59 UTC 2024","passed","Thu Oct 17 13:16:30 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","7883","TC-226: Verify 'У Вас залишилися питання?' form","chromium","Thu Oct 17 13:13:41 UTC 2024","passed","Thu Oct 17 13:13:49 UTC 2024","Consulting form functionality","consultationForm.spec.ts","",""
"","7594","TC-390 Verify 'Назад' button","chromium","Thu Oct 17 13:16:57 UTC 2024","passed","Thu Oct 17 13:17:04 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","5734","TC-299 Verify model name input field","chromium","Thu Oct 17 13:14:05 UTC 2024","passed","Thu Oct 17 13:14:11 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","15164","TC-594 Verify image moving","chromium","Thu Oct 17 13:17:27 UTC 2024","passed","Thu Oct 17 13:17:42 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","99067","TC-318 Verify description section","chromium","Thu Oct 17 13:14:35 UTC 2024","passed","Thu Oct 17 13:16:14 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","15156","TC-595 Verify image deleting","chromium","Thu Oct 17 13:17:32 UTC 2024","passed","Thu Oct 17 13:17:47 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","3976","TC-326 Verify 'Скасувати'  button","chromium","Thu Oct 17 13:16:15 UTC 2024","passed","Thu Oct 17 13:16:19 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","106170","TC-317 Verify technical characteristics section","chromium","Thu Oct 17 13:14:11 UTC 2024","passed","Thu Oct 17 13:15:57 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","7926","TC-393 Verify 'Далі' button","chromium","Thu Oct 17 13:17:04 UTC 2024","passed","Thu Oct 17 13:17:12 UTC 2024","test create unit photo section","createUnitPhoto.spec.ts","",""
"","5012","TC-294 Verify body title and tab titles","chromium","Thu Oct 17 13:13:41 UTC 2024","passed","Thu Oct 17 13:13:46 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","6853","TC-297 Verify unit name section","chromium","Thu Oct 17 13:13:50 UTC 2024","passed","Thu Oct 17 13:13:57 UTC 2024","Create unit functionality","createUnit.spec.ts","",""
"","32773","TC-213: Checking 'Спецтехніка' section on the main page","chromium","Thu Oct 17 13:19:08 UTC 2024","broken","Thu Oct 17 13:19:41 UTC 2024","Main page testing","main.spec.ts","",""
"","4601","TC-200 Authorization with empty fields","chromium","Thu Oct 17 13:18:47 UTC 2024","passed","Thu Oct 17 13:18:52 UTC 2024","Auth page testing","signIn.spec.ts","",""
"","5588","TC-207 Authorization with invalid phone","chromium","Thu Oct 17 13:18:52 UTC 2024","passed","Thu Oct 17 13:18:58 UTC 2024","Auth page testing","signIn.spec.ts","",""
